"id","title","filename"
1,"Småt & Brændbart","braendbart.jpg"
2,"Byggeri","byggeri.jpg"
3,"Deponi","deponi.jpg"
4,"Elektronik","elektronik.jpg"
5,"Farligt affald","farligt-affald.png"
6,"Glas","glas.png"
7,"Gummi","gummi.jpg"
8,"Haveaffald","haveaffald.jpg"
9,"Mad og drikkekartoner","mad-og-drikkekartoner.png"
10,"Madaffald","madaffald.png"
11,"Madresser og sofaer","madrasser-sofaer.png"
12,"Metal","metal.jpg"
13,"Pap","pap.png"
14,"Papir","papir.png"
15,"Plastik","plast.png"
16,"Tekstil","tekstil.png"
17,"Trae","trae.png"
18,"Asfalt","asfalt.jpg"
19,"Asfalt Ikon","asfalt.svg"
20,"Beton & Natursten","beton-og-natursten.jpg"
21,"Beton Ikon","beton.svg"
22,"Brokker","brokker.jpg"
23,"Brokker Ikon","brokker.svg"
24,"Gips","gips.jpg"
25,"Gips Ikon","gips.svg"
26,"Rockwool & Glasuld","rockwool-og-glasuld.jpg"
27,"Rockwool & Glasuld Ikon","glasuld-stenuld_ut.svg"
28,"Mursten & Tegl","mursten-og-tegl.jpg"
29,"Mursten & Tegl Ikon","mursten-og-tegl.svg"
30,"Tagpap","tagpap.jpg"
31,"Tagpap Ikon","tagpap.svg"
32,"Toiletter & Håndvaske","toiletter-og-haandvaske.jpg"
33,"Toiletter & Håndvaske Ikon","toiletter-og-haandvaske.svg"
34,"Vinduer","vinduer.jpg"
35,"Vinduer Ikon","vinduer.svg"
36,"Deponi","deponi.svg",
